Iteration	pt	walk
0	1312245.171	221999.74026002883
1	1312125.586	221884.40036284254
2	1315072.595	222701.0488266879
3	1317813.961	222659.92065932092
4	1320581.733	223770.20036694725
5	1322678.511	223925.55362083708
6	1322306.426	224345.49721489858
7	1338761.145	214229.20370191432
8	1350137.557	208046.9757641762
9	1355329.883	205940.78663418003
10	1361708.118	203087.52528120283
11	1378489.419	194648.1217230367
12	1387248.729	192617.4464783706
13	1396038.532	190241.88403332236
14	1398830.393	189100.7384914316
15	1402809.9	187707.5422427289
16	1406851.858	187306.72302922094
17	1410120.525	187696.82461786535
18	1411953.403	187251.97729310291
19	1433825.667	196343.06326397354
20	1437062.547	194198.33769858573
21	1438727.695	195965.6406345497
22	1443751.641	196478.05622674435
23	1443782.865	197980.920113024
24	1441218.133	194704.26785049448
25	1436041.985	197659.202341849
26	1444545.172	197199.19934266843
27	1436388.985	193634.21719955918
28	1441579.689	194475.91705161924
29	1444452.285	193696.05974680698
30	1443571.265	191822.1191435209
31	1443407.16	192509.27616951126
32	1443249.675	191580.60661640533
33	1447380.117	188820.29966917663
34	1444761.781	186228.68865578572
35	1446825.998	186739.42019792282
36	1448034.375	186741.1592024152
37	1448526.904	185525.78258130618
38	1451713.108	185600.30323655793
39	1452207.6	184242.24828439875
40	1452409.033	183242.40401324668
41	1454706.053	182631.00741905393
42	1452990.611	182948.4523303958
43	1457215.379	182729.7018670973
44	1457987.386	182067.96087890345
45	1459069.561	181111.2577741832
46	1452445.789	178121.91982093418
47	1459892.997	178934.04877959497
48	1458676.055	179922.69584762966
49	1464739.535	177870.7987217094
50	1464619.893	176983.9710690977
51	1465602.172	176271.58936274066
52	1471461.228	176697.30227349812
53	1473058.216	175545.35082125483
54	1476324.229	174922.21273606352
55	1478486.763	173743.21949324058
56	1475105.445	173477.17400934672
57	1479550.457	172690.18972412645
58	1478522.925	171023.58646770497
59	1480445.335	172144.85641916652
60	1486930.912	170495.4485560756
61	1488579.037	170282.1192469227
62	1485229.074	170681.61539602364
63	1489916.468	166134.57866085102
64	1499133.835	165935.3119634254
65	1499046.43	165041.4583135625
66	1500159.794	163774.44397716504
67	1509821.615	161575.8090706643
68	1506962.25	160496.72705635277
69	1515368.011	159778.02164736766
70	1512810.587	158023.43317559946
71	1520812.282	156624.13001570175
72	1520159.856	156083.07775470536
73	1534402.019	155344.71017884836
74	1523089.781	148815.81704703023
75	1545365.188	148674.51899067525
76	1548706.547	148808.7356172629
77	1555922.264	148138.83253610565
78	1557827.389	146440.79536049787
79	1554558.828	149066.19756562004
80	1555399.521	143155.91219993625
81	1566383.795	140887.2822768418
82	1566460.414	139137.48024638544
83	1575960.207	138141.29421772648
84	1567794.052	136940.4092847844
85	1581988.943	136330.854891871
86	1575170.57	135829.08237986054
87	1582604.554	135021.89117454513
88	1574761.942	134430.75631719327
89	1581579.833	133933.26560823192
90	1564116.519	133456.99397154636
91	1580453.005	133619.8733837579
92	1564939.735	133272.1440878634
93	1571455.178	133462.40780478693
94	1554235.149	122290.93512818313
95	1567512.707	122975.58064059561
96	1557004.804	121599.42078278707
97	1568262.845	124233.60316428998
98	1564538.596	123876.60147199167
99	1576147.128	124457.47952273305
100	1567717.502	123929.54655331724
101	1572983.527	123842.46672546935
102	1569801.186	123910.9883021603
103	1582590.402	123166.87100770586
104	1574653.492	122424.12462100563
105	1584661.522	120068.11644178772
106	1578149.456	120273.11156163158
107	1586658.77	117629.46322831236
108	1582942.658	119146.98355033832
109	1595979.511	118203.51800564378
