x	y	total	home	work
4511935.0	5347670.0	1692	1137	555
4504581.0	5341783.5	1105	729	376
4491178.5	5342258.5	783	518	265
4496678.5	5369763.0	384	265	119
4503278.5	5350340.5	531	342	189
4484340.5	5357249.0	22112	14732	7380
4481427.0	5362646.0	2134	1415	719
4498550.0	5353614.5	1011	670	341
4485942.0	5337060.0	1112	722	390
4493682.5	5351729.0	7604	4973	2631
4499590.5	5359250.5	593	381	212
4488325.5	5355454.0	2221	1472	749
4467859.0	5331594.0	27420	18275	9145
4509783.0	5356190.0	1434	942	492
4511233.5	5348363.0	1232	811	421
4489838.5	5339512.0	2736	1821	915
4505875.0	5356669.0	476	320	156
4499477.0	5362687.5	638	359	279
4497776.0	5346844.0	812	537	275
4510174.0	5342884.0	960	643	317
4475709.0	5343146.5	1846	1226	620
4503791.5	5346582.5	523	353	170
4497936.0	5365234.5	377	232	145
4495707.0	5344803.5	1328	878	450
4485864.0	5343176.0	1037	688	349
4493354.0	5352510.5	3755	2490	1265
4487083.0	5345227.5	735	485	250
4488588.0	5348786.0	1278	843	435
