Iteration	pt_travel	pt_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
0	22856.424166666668	20826.1825	0.0	0.0	74021.01055555555	0.0
1	22886.658333333333	20293.885833333334	0.0	0.0	73986.955	0.0
2	22929.645555555555	20524.156944444443	0.0	0.0	74240.37055555555	0.0
3	22990.429722222223	20179.2625	0.0	0.0	74321.22916666667	0.0
4	23055.989166666666	20405.824722222223	0.0	0.0	74612.4986111111	0.0
5	23075.41222222222	20134.469166666666	0.0	0.0	74626.43166666667	0.0
6	23047.410555555554	20173.270277777778	0.0	0.0	74508.74638888889	0.0
7	23332.500277777777	20951.187777777777	0.0	0.0	73426.21055555556	0.0
8	23369.185555555556	21081.909444444445	0.0	0.0	72653.51388888889	0.0
9	23328.034444444445	21557.161666666667	0.0	0.0	73852.78444444445	0.0
10	23416.22861111111	21561.145277777778	0.0	0.0	73280.84027777778	0.0
11	23361.105555555554	22398.543333333335	0.0	0.0	73332.3613888889	0.0
12	23320.86138888889	22363.117222222223	0.0	0.0	73325.01222222223	0.0
13	23298.508055555554	23070.266944444444	0.0	0.0	72966.0663888889	0.0
14	23310.297222222223	23100.12138888889	0.0	0.0	72364.40611111111	0.0
15	23264.574166666665	22652.929444444446	0.0	0.0	72041.91611111112	0.0
16	23254.800555555557	23057.903055555555	0.0	0.0	71625.96722222223	0.0
17	23144.01111111111	22805.299444444445	0.0	0.0	71717.86027777777	0.0
18	23174.495	23286.248333333333	0.0	0.0	71993.46666666666	0.0
19	23029.143055555556	22964.140277777777	0.0	0.0	72111.18194444444	0.0
20	23133.8	23441.68666666667	0.0	0.0	72665.68555555555	0.0
21	23150.38611111111	24187.001944444444	0.0	0.0	72293.59333333334	0.0
22	23382.567222222224	25696.724444444444	0.0	0.0	72560.8086111111	0.0
23	23399.93388888889	25954.70111111111	0.0	0.0	72461.535	0.0
24	23334.066666666666	25293.291944444445	0.0	0.0	72209.04444444444	0.0
25	23343.5275	25708.679166666665	0.0	0.0	72140.42944444444	0.0
26	23312.731111111112	25793.605	0.0	0.0	71932.97666666667	0.0
27	23330.058333333334	25100.706944444446	0.0	0.0	72249.76861111111	0.0
28	23228.246944444443	25085.4	0.0	0.0	72036.98055555555	0.0
29	23355.081944444446	23767.23972222222	0.0	0.0	71773.95083333334	0.0
30	23362.36472222222	25019.659166666668	0.0	0.0	72121.4125	0.0
31	23535.270833333332	25329.83111111111	0.0	0.0	72076.31555555556	0.0
32	23677.801944444444	26758.749444444446	0.0	0.0	72910.08916666667	0.0
33	23918.43666666667	25985.202777777777	0.0	0.0	73144.71583333334	0.0
34	24054.380833333333	22404.347777777777	0.0	0.0	73499.41472222222	0.0
35	24110.725555555557	21175.144166666665	0.0	0.0	73013.91805555555	0.0
36	24241.876666666667	20137.635833333334	0.0	0.0	72215.54666666666	0.0
37	24272.03138888889	18737.185555555556	0.0	0.0	72213.29833333334	0.0
38	24265.349444444444	18641.923055555555	0.0	0.0	71135.87944444445	0.0
39	24334.429166666665	18993.580555555556	0.0	0.0	70880.34333333334	0.0
40	24286.6075	18986.268055555556	0.0	0.0	68238.93472222223	0.0
41	24343.1625	18592.257222222222	0.0	0.0	68616.27472222222	0.0
42	24488.5825	19446.066944444443	0.0	0.0	68305.93305555555	0.0
43	24603.829166666666	18543.226944444443	0.0	0.0	68840.68	0.0
44	24637.79	18187.89222222222	0.0	0.0	67878.905	0.0
45	24753.46861111111	17651.920833333334	0.0	0.0	67316.72194444445	0.0
46	24823.028333333332	17665.714722222223	0.0	0.0	66423.13944444444	0.0
47	24906.50361111111	17852.68222222222	0.0	0.0	66144.96555555555	0.0
48	25146.790833333333	18247.526944444446	0.0	0.0	64386.38888888889	0.0
49	25068.930555555555	19056.281944444443	0.0	0.0	62529.815	0.0
50	25294.132222222222	19739.790277777778	0.0	0.0	62233.46555555556	0.0
51	25302.376944444444	18935.936944444446	0.0	0.0	61408.79638888889	0.0
52	25428.83361111111	19622.7175	0.0	0.0	61585.471666666665	0.0
53	25474.995	18870.493055555555	0.0	0.0	61288.21944444445	0.0
54	25556.069444444445	19576.354444444445	0.0	0.0	60571.33472222222	0.0
55	25582.114166666666	18638.520833333332	0.0	0.0	60570.98944444444	0.0
56	25615.762222222223	18755.152222222223	0.0	0.0	60321.77138888889	0.0
