x	y	total	home	work
4467859.0	5331594.0	4796	3108	1688
4491178.5	5342258.5	55	38	17
4496678.5	5369763.0	109	70	39
4489838.5	5339512.0	196	146	50
4505875.0	5356669.0	61	38	23
4499477.0	5362687.5	218	144	74
4497776.0	5346844.0	131	84	47
4484340.5	5357249.0	4366	2905	1461
4475709.0	5343146.5	131	84	47
4497936.0	5365234.5	97	62	35
4498550.0	5353614.5	161	106	55
4481427.0	5362646.0	407	270	137
4485942.0	5337060.0	81	60	21
4495707.0	5344803.5	216	138	78
4485864.0	5343176.0	75	51	24
4493682.5	5351729.0	1239	805	434
4499590.5	5359250.5	164	108	56
4493354.0	5352510.5	751	498	253
4487083.0	5345227.5	101	62	39
4488325.5	5355454.0	420	278	142
4488588.0	5348786.0	206	130	76
