# iteration	operator	status	plan id	creator	parent	vehicle	pax	score	budget	start time	end time	important stops	links
0	para_0_1	BANKRUPT	0_0	CreateNewPlan	none	5	119	-14629.064168333332	-14628.064168333332	01:00:00	09:45:00	[para_100, para_260]	[100, 37, 204, 68, 87, 39, 40, 88, 97, 260, 100]
0	para_0_1	BANKRUPT	=====	=====	=====	5	119	-14629.064168333332	-14628.064168333332	=====	=====	=====	=====
0	para_0_2	BANKRUPT	0_0	CreateNewPlan	none	5	79	-12418.492720833332	-12417.492720833332	10:00:00	14:00:00	[para_101, para_223]	[101, 100, 37, 121, 2, 91, 223, 183, 180, 36, 101]
0	para_0_2	BANKRUPT	=====	=====	=====	5	79	-12418.492720833332	-12417.492720833332	=====	=====	=====	=====
0	para_0_3	BANKRUPT	0_0	CreateNewPlan	none	5	81	-9728.44082138889	-9727.44082138889	20:45:00	22:15:00	[para_260, para_44]	[260, 43, 44, 285, 131, 0, 26, 68, 87, 39, 40, 88, 97, 260]
0	para_0_3	BANKRUPT	=====	=====	=====	5	81	-9728.44082138889	-9727.44082138889	=====	=====	=====	=====
0	para_0_4	BANKRUPT	0_0	CreateNewPlan	none	5	93	-10154.335478555555	-10153.335478555555	19:00:00	23:30:00	[para_42, para_59]	[42, 261, 57, 58, 59, 56, 260, 43, 42]
0	para_0_4	BANKRUPT	=====	=====	=====	5	93	-10154.335478555555	-10153.335478555555	=====	=====	=====	=====
0	para_0_5	BANKRUPT	0_0	CreateNewPlan	none	5	0	-14997.062807777776	-14996.062807777776	00:00:00	03:30:00	[para_150, para_101]	[150, 185, 180, 36, 101, 100, 37, 137, 4, 150]
0	para_0_5	BANKRUPT	=====	=====	=====	5	0	-14997.062807777776	-14996.062807777776	=====	=====	=====	=====
0	para_0_6	BANKRUPT	0_0	CreateNewPlan	none	5	0	-9684.220036666668	-9683.220036666668	21:15:00	23:00:00	[para_260, para_182]	[260, 100, 37, 181, 182, 50, 262, 249, 39, 40, 88, 97, 260]
0	para_0_6	BANKRUPT	=====	=====	=====	5	0	-9684.220036666668	-9683.220036666668	=====	=====	=====	=====
0	para_0_7	BANKRUPT	0_0	CreateNewPlan	none	5	6	-12429.090492	-12428.090492	10:15:00	22:30:00	[para_42, para_203]	[42, 100, 37, 203, 202, 36, 219, 42]
0	para_0_7	BANKRUPT	=====	=====	=====	5	6	-12429.090492	-12428.090492	=====	=====	=====	=====
0	para_0_8	BANKRUPT	0_0	CreateNewPlan	none	5	10	-12924.957478611112	-12923.957478611112	08:15:00	13:45:00	[para_42, para_22]	[42, 100, 37, 181, 22, 202, 36, 219, 42]
0	para_0_8	BANKRUPT	=====	=====	=====	5	10	-12924.957478611112	-12923.957478611112	=====	=====	=====	=====
