x	y	total	home	work
4511935.0	5347670.0	86	46	40
4491178.5	5342258.5	75	47	28
4504581.0	5341783.5	36	25	11
4496678.5	5369763.0	82	46	36
4503278.5	5350340.5	29	19	10
4484340.5	5357249.0	3813	2372	1441
4498550.0	5353614.5	159	101	58
4481427.0	5362646.0	321	194	127
4485942.0	5337060.0	71	37	34
4493682.5	5351729.0	1186	734	452
4499590.5	5359250.5	153	98	55
4488325.5	5355454.0	343	219	124
4467859.0	5331594.0	4375	2636	1739
4509783.0	5356190.0	77	45	32
4511233.5	5348363.0	66	26	40
4489838.5	5339512.0	251	158	93
4505875.0	5356669.0	67	38	29
4499477.0	5362687.5	189	121	68
4497776.0	5346844.0	91	47	44
4510174.0	5342884.0	30	13	17
4475709.0	5343146.5	178	117	61
4503791.5	5346582.5	5	0	5
4497936.0	5365234.5	83	49	34
4495707.0	5344803.5	178	108	70
4485864.0	5343176.0	99	49	50
4493354.0	5352510.5	518	291	227
4487083.0	5345227.5	89	52	37
4488588.0	5348786.0	207	123	84
