x	y	total	home	work
4511935.0	5347670.0	90	52	38
4504581.0	5341783.5	27	4	23
4491178.5	5342258.5	91	59	32
4496678.5	5369763.0	72	37	35
4503278.5	5350340.5	26	17	9
4484340.5	5357249.0	3967	2519	1448
4481427.0	5362646.0	328	203	125
4498550.0	5353614.5	116	62	54
4485942.0	5337060.0	74	48	26
4493682.5	5351729.0	1180	751	429
4499590.5	5359250.5	133	86	47
4488325.5	5355454.0	361	237	124
4467859.0	5331594.0	4473	2717	1756
4509783.0	5356190.0	75	44	31
4511233.5	5348363.0	68	25	43
4489838.5	5339512.0	307	209	98
4505875.0	5356669.0	55	30	25
4499477.0	5362687.5	182	113	69
4497776.0	5346844.0	87	48	39
4510174.0	5342884.0	18	7	11
4475709.0	5343146.5	195	127	68
4503791.5	5346582.5	18	10	8
4497936.0	5365234.5	78	47	31
4495707.0	5344803.5	155	98	57
4485864.0	5343176.0	110	67	43
4493354.0	5352510.5	585	351	234
4487083.0	5345227.5	96	58	38
4488588.0	5348786.0	206	125	81
