$VISION;;;;;;;;;
$VERSION:VERSNR;FILETYPE;LANGUAGE;UNIT;;;;;;
9;ATT;ENG;KM;;;;;;
;;;;;;;;;
$link:NO;FROMNODENO;TONODENO;LENGTH;lower-bound;V0_PRTSYS(C);T_PUTSYS(B);;;
1;900001;8;1,515;1;0;0;;;
1;900008;1;1,515;1;0;0;;;
2;900001;300;1,944;2;0;0;;;
2;900300;1;1,944;2;0;0;;;
3;900002;3;7,707;10;0;0;;;
3;900003;2;7,707;10;0;0;;;
4;900002;8;2,873;4;0;0;;;
4;900008;2;2,873;4;0;0;;;
5;900003;17;3,186;4;0;0;;;
5;900017;3;3,186;4;0;0;;;
6;900004;32;5,641;7;0;0;;;
6;900032;4;5,641;7;0;0;;;
7;900004;33;4,644;6;0;0;;;
7;900033;4;4,644;6;0;0;;;
8;900005;6;1,406;2;0;0;;;
8;900006;5;1,406;2;0;0;;;
9;900005;29;15,098;10;0;0;;;
9;900029;5;15,098;10;0;0;;;
10;900005;339;3,946;5;0;0;;;
10;900339;5;3,946;5;0;0;;;
11;900006;283;0,202;1;0;0;;;
11;900283;6;0,202;1;0;0;;;
12;900007;8;2,249;3;0;0;;;
12;900008;7;2,249;3;0;0;;;
13;900007;29;5,692;7;0;0;;;
13;900029;7;5,692;7;0;0;;;
14;900008;19;3,355;4;0;0;;;
14;900019;8;3,355;4;0;0;;;
15;900008;32;6,721;9;0;0;;;
15;900032;8;6,721;9;0;0;;;
16;900008;34;1,168;2;0;0;;;
16;900034;8;1,168;2;0;0;;;
17;900008;69;7,662;10;0;0;;;
17;900069;8;7,662;10;0;0;;;
18;900009;34;1,547;2;0;0;;;
18;900034;9;1,547;2;0;0;;;
19;900009;68;4,799;6;0;0;;;
19;900068;9;4,799;6;0;0;;;
20;900010;23;2,587;4;0;0;;;
20;900023;10;2,587;4;0;0;;;
21;900010;24;1,084;2;0;0;;;
21;900024;10;1,084;2;0;0;;;
22;900011;40;1,895;3;0;0;;;
22;900040;11;1,895;3;0;0;;;
23;900011;70;15,823;10;0;0;;;
23;900070;11;15,823;10;0;0;;;
24;900011;375;8,604;11;0;0;;;
24;900375;11;8,604;11;0;0;;;
25;900012;20;7,919;5;0;0;;;
25;900020;12;7,919;5;0;0;;;
26;900012;29;2,906;2;0;0;;;
26;900029;12;2,906;2;0;0;;;
27;900013;18;4,192;6;0;0;;;
27;900018;13;4,192;6;0;0;;;
28;900013;31;6,317;8;0;0;;;
28;900031;13;6,317;8;0;0;;;
29;900014;28;3,205;4;0;0;;;
29;900028;14;3,205;4;0;0;;;
30;900014;308;5,275;7;0;0;;;
30;900308;14;5,275;7;0;0;;;
31;900015;16;0,495;1;0;0;;;
31;900016;15;0,495;1;0;0;;;
32;900015;29;6,438;8;0;0;;;
32;900029;15;6,438;8;0;0;;;
33;900016;18;0,867;2;0;0;;;
33;900018;16;0,867;2;0;0;;;
34;900017;283;5,912;8;0;0;;;
34;900283;17;5,912;8;0;0;;;
35;900019;26;2,697;4;0;0;;;
35;900026;19;2,697;4;0;0;;;
36;900020;21;20,584;13;0;0;;;
36;900021;20;20,584;13;0;0;;;
37;900020;22;3,216;2;0;0;;;
37;900022;20;3,216;2;0;0;;;
38;900020;50;6,901;9;0;0;;;
38;900050;20;6,901;9;0;0;;;
39;900020;346;4,734;3;0;0;;;
